accession_no,entity_name,cik,file_date,period_of_report,form_type,file_type_hint,source
0001564590-21-025021,STAAR SURGICAL CO,0000718937,2021-05-06,2021-05-05,8-K,EX-99.1,EFTS
0001213900-20-035196,"SB FINANCIAL GROUP, INC.",0000767405,2020-11-05,2020-10-30,8-K,EX-99.1,EFTS
0001193125-20-139377,"PRECIGEN, INC.",0001356090,2020-05-12,2020-05-06,8-K,EX-99.1,EFTS
0001213900-23-006371,"SB FINANCIAL GROUP, INC.",0000767405,2023-01-31,2023-01-27,8-K,EX-99.1,EFTS
0001193125-20-212103,Energous Corp,0001575793,2020-08-06,2020-08-05,8-K,EX-99.2,EFTS
0001437749-20-001288,OPTICAL CABLE CORP,0001000230,2020-01-28,2020-01-27,8-K,EX-99.2,EFTS
0001174947-20-000202,STURM RUGER & CO INC,0000095029,2020-02-21,2020-02-20,8-K,EX-99.1,EFTS
0001104659-22-104156,MOVING iMAGE TECHNOLOGIES INC.,0001770236,2022-09-29,2022-09-23,8-K,EX-99.2,EFTS
0001213900-19-014056,"SB FINANCIAL GROUP, INC.",0000767405,2019-07-31,2019-07-24,8-K,EX-99.1,EFTS
0001193125-23-273497,"Premier, Inc.",0001577916,2023-11-08,2023-11-07,8-K,EX-99.2,EFTS
0001171520-23-000164,"Plymouth Industrial REIT, Inc.",0001515816,2023-05-08,2023-05-04,8-K,EX-99,EFTS
0001174947-22-000635,STURM RUGER & CO INC,0000095029,2022-05-06,2022-05-05,8-K,EX-99.1,EFTS
0001174947-22-001168,STURM RUGER & CO INC,0000095029,2022-11-04,2022-11-03,8-K,EX-99.2,EFTS
0000883569-20-000056,"Fossil Group, Inc.",0000883569,2020-11-12,2020-11-11,8-K,EX-99.2,EFTS
0001104659-22-127184,"Loop Media, Inc.",0001643988,2022-12-15,2022-12-13,8-K,EX-99.2,EFTS
0001564590-21-001318,VOXX International Corp,0000807707,2021-01-15,2021-01-11,8-K,EX-99.2,EFTS
0001174947-22-000929,STURM RUGER & CO INC,0000095029,2022-08-05,2022-08-04,8-K,EX-99.1,EFTS
0001564590-19-024225,WORTHINGTON INDUSTRIES INC,0000108516,2019-07-01,2019-06-26,8-K,EX-99.1,EFTS
0001174947-20-000861,STURM RUGER & CO INC,0000095029,2020-07-31,2020-07-30,8-K,EX-99.1,EFTS
0001028918-22-000008,PACIFIC PREMIER BANCORP INC,0001028918,2022-01-25,2022-01-25,8-K,EX-99.1,EFTS
0001028918-21-000126,PACIFIC PREMIER BANCORP INC,0001028918,2021-04-30,2021-04-30,8-K,EX-99.1,EFTS
0001564590-19-046551,WORTHINGTON INDUSTRIES INC,0000108516,2019-12-20,2019-12-17,8-K,EX-99.1,EFTS
0001493152-21-004163,"ESPORTS ENTERTAINMENT GROUP, INC.",0001451448,2021-02-17,2021-02-16,8-K,EX-99.2,EFTS
0000874238-19-000070,STERLING CONSTRUCTION CO INC,0000874238,2019-05-08,2019-05-07,8-K,EX-99.1,EFTS
0000950170-23-032943,VOXX International Corp,0000807707,2023-07-14,2023-07-10,8-K,EX-99.2,EFTS
0001564590-21-051015,VOXX International Corp,0000807707,2021-10-18,2021-10-12,8-K,EX-99.2,EFTS
0001028918-21-000176,PACIFIC PREMIER BANCORP INC,0001028918,2021-10-25,2021-10-25,8-K,EX-99.1,EFTS
0001564590-19-014794,"CBIZ, Inc.",0000944148,2019-05-01,2019-04-25,8-K,EX-99.2,EFTS
0001174947-22-000276,STURM RUGER & CO INC,0000095029,2022-02-25,2022-02-24,8-K,EX-99.1,EFTS
0001213900-21-060097,"Nxt-ID, Inc.",0001566826,2021-11-16,2021-11-12,8-K,EX-99.1,EFTS
0001028918-19-000061,PACIFIC PREMIER BANCORP INC,0001028918,2019-04-29,2019-04-29,8-K,EX-99.1,EFTS
0001193125-20-008077,"RTI Surgical Holdings, Inc.",0001760173,2020-01-15,2020-01-10,8-K,EX-99.2,EFTS
0001028918-19-000099,PACIFIC PREMIER BANCORP INC,0001028918,2019-07-26,2019-07-26,8-K,EX-99.1,EFTS
0001028918-20-000007,PACIFIC PREMIER BANCORP INC,0001028918,2020-01-28,2020-01-23,8-K,EX-99.1,EFTS
0001174947-20-000651,STURM RUGER & CO INC,0000095029,2020-05-08,2020-05-07,8-K,EX-99.1,EFTS
0001028918-19-000120,PACIFIC PREMIER BANCORP INC,0001028918,2019-10-25,2019-10-22,8-K,EX-99.1,EFTS
0001213900-21-040075,"SB FINANCIAL GROUP, INC.",0000767405,2021-08-03,2021-07-27,8-K,EX-99.1,EFTS
0001437749-19-004802,OPTICAL CABLE CORP,0001000230,2019-03-13,2019-03-12,8-K,EX-99.2,EFTS
0001174947-21-000525,STURM RUGER & CO INC,0000095029,2021-05-07,2021-05-06,8-K,EX-99.1,EFTS
0001193125-19-280519,MICROSTRATEGY Inc,0001050446,2019-10-31,2019-10-29,8-K,EX-99.1,EFTS
0001028918-21-000008,PACIFIC PREMIER BANCORP INC,0001028918,2021-01-29,2021-01-29,8-K,EX-99.1,EFTS
0001174947-21-000759,STURM RUGER & CO INC,0000095029,2021-08-06,2021-08-05,8-K,EX-99.1,EFTS
0001174947-23-001307,STURM RUGER & CO INC,0000095029,2023-11-03,2023-11-02,8-K,EX-99.1,EFTS
0001387131-19-001891,CPI AEROSTRUCTURES INC,0000889348,2019-03-13,2018-03-13,8-K,EX-99.1,EFTS
0001171520-19-000261,Plymouth Industrial REIT Inc.,0001515816,2019-08-12,2019-08-08,8-K,EX-99,EFTS
0001140361-21-031661,"ISUN, INC.",0001634447,2021-09-17,2021-09-16,8-K,EX-99.1,EFTS
0001564590-20-006236,"CBIZ, Inc.",0000944148,2020-02-25,2020-02-20,8-K,EX-99.2,EFTS
0001564590-20-007360,STAAR SURGICAL CO,0000718937,2020-02-27,2020-02-26,8-K,EX-99.1,EFTS
0001564590-19-003289,"CBIZ, Inc.",0000944148,2019-02-19,2019-02-13,8-K,EX-99.2,EFTS
0001144204-19-023240,"Spirit of Texas Bancshares, Inc.",0001499453,2019-05-02,2019-04-29,8-K,EX-99.2,EFTS
0001564590-21-028676,VOXX International Corp,0000807707,2021-05-18,2021-05-13,8-K,EX-99.2,EFTS
0001174947-21-000998,STURM RUGER & CO INC,0000095029,2021-11-05,2021-11-04,8-K,EX-99.1,EFTS
0000950170-22-012711,VOXX International Corp,0000807707,2022-07-15,2022-07-11,8-K,EX-99.2,EFTS
0001564590-19-036030,WORTHINGTON INDUSTRIES INC,0000108516,2019-10-01,2019-09-25,8-K,EX-99.1,EFTS
0001564590-20-051424,STAAR SURGICAL CO,0000718937,2020-11-05,2020-11-04,8-K,EX-99.1,EFTS
0001174947-23-000254,STURM RUGER & CO INC,0000095029,2023-02-24,2023-02-23,8-K,EX-99.1,EFTS
0000043920-21-000022,"GREIF, INC",0000043920,2021-02-26,2021-02-26,8-K,EX-99.2,EFTS
0001305773-20-000031,Conformis Inc,0001305773,2020-03-05,2020-03-02,8-K,EX-99.2,EFTS
0001028918-19-000012,PACIFIC PREMIER BANCORP INC,0001028918,2019-02-04,2019-02-04,8-K,EX-99.1,EFTS
0001171520-19-000191,Plymouth Industrial REIT Inc.,0001515816,2019-05-13,2019-05-09,8-K,EX-99.1 CHARTER,EFTS
0001193125-21-060435,Energous Corp,0001575793,2021-02-26,2021-02-25,8-K,EX-99.2,EFTS
0001028918-22-000125,PACIFIC PREMIER BANCORP INC,0001028918,2022-04-29,2022-04-29,8-K,EX-99.1,EFTS
0001213900-21-056370,"SB FINANCIAL GROUP, INC.",0000767405,2021-11-03,2021-10-29,8-K,EX-99.1,EFTS
0001110803-23-000003,"ILLUMINA, INC.",0001110803,2023-01-11,2023-01-09,8-K,EX-99.1,EFTS
0001028918-22-000156,PACIFIC PREMIER BANCORP INC,0001028918,2022-10-24,2022-10-24,8-K,EX-99.1,EFTS
0001171520-21-000496,"Plymouth Industrial REIT, Inc.",0001515816,2021-11-09,2021-11-05,8-K,EX-99.1,EFTS
0001171520-23-000356,"Plymouth Industrial REIT, Inc.",0001515816,2023-11-06,2023-11-02,8-K,EX-99,EFTS
0001564590-21-036822,VOXX International Corp,0000807707,2021-07-16,2021-07-12,8-K,EX-99.2,EFTS
0001028918-22-000139,PACIFIC PREMIER BANCORP INC,0001028918,2022-07-25,2022-07-25,8-K,EX-99.1,EFTS
0001028918-20-000027,PACIFIC PREMIER BANCORP INC,0001028918,2020-02-07,2020-02-03,8-K,EX-99.1,EFTS
0001564590-19-006435,TIDEWATER INC,0000098222,2019-03-06,2019-03-06,8-K,EX-99.1,EFTS
0001028918-20-000151,PACIFIC PREMIER BANCORP INC,0001028918,2020-07-31,2020-07-27,8-K,EX-99.1,EFTS
0001193125-19-191305,"Acacia Communications, Inc.",0001651235,2019-07-09,2019-07-09,8-K,EX-99.2,EFTS
0001171520-21-000195,"Plymouth Industrial REIT, Inc.",0001515816,2021-05-10,2021-05-07,8-K,EX-99.1,EFTS
0000950170-23-023203,VOXX International Corp,0000807707,2023-05-19,2023-05-15,8-K,EX-99.2,EFTS
0000950170-22-019596,VOXX International Corp,0000807707,2022-10-17,2022-10-11,8-K,EX-99.2,EFTS
0000897101-20-000406,INTRICON CORP,0000088790,2020-05-21,2020-05-19,8-K,EX-99.1,EFTS
0001171520-22-000518,"Plymouth Industrial REIT, Inc.",0001515816,2022-11-07,2022-11-03,8-K,EX-99,EFTS
0001558370-21-015796,EVERSPIN TECHNOLOGIES INC,0001438423,2021-11-12,2021-11-07,8-K,EX-99.2,EFTS
0001193125-20-216485,"MYOMO, INC.",0001369290,2020-08-11,2020-08-10,8-K,EX-99.2,EFTS
0001104659-20-034085,Farmland Partners Inc.,0001591670,2020-03-16,2020-03-12,8-K,EX-99.1,EFTS
0001213900-22-023654,"SB FINANCIAL GROUP, INC.",0000767405,2022-05-03,2022-04-29,8-K,EX-99.1,EFTS
0001564590-23-002247,STAAR SURGICAL CO,0000718937,2023-02-23,2023-02-21,8-K,EX-99.1,EFTS
0001193125-20-207424,Hilton Grand Vacations Inc.,0001674168,2020-08-03,2020-08-03,8-K,EX-99.2,EFTS
0001487052-19-000006,"LegacyTexas Financial Group, Inc.",0001487052,2019-01-25,2019-01-23,8-K,EX-99.1,EFTS
0001174947-21-000173,STURM RUGER & CO INC,0000095029,2021-02-19,2021-02-18,8-K,EX-99.1,EFTS
0001213900-22-070026,"SB FINANCIAL GROUP, INC.",0000767405,2022-11-08,2022-11-02,8-K,EX-99.1,EFTS
0001171520-19-000141,Plymouth Industrial REIT Inc.,0001515816,2019-03-12,2019-03-12,8-K,EX-99,EFTS
0001564590-21-008650,STAAR SURGICAL CO,0000718937,2021-02-25,2021-02-24,8-K,EX-99.1,EFTS
0001213900-20-002079,"SB FINANCIAL GROUP, INC.",0000767405,2020-01-29,2020-01-24,8-K,EX-99.1,EFTS
0001193125-22-206637,"FTI CONSULTING, INC",0000887936,2022-07-29,2022-07-28,8-K,EX-99.1,EFTS
0001193125-23-130596,"FTI CONSULTING, INC",0000887936,2023-05-01,2023-04-27,8-K,EX-99.1,EFTS
0001171520-23-000126,"Plymouth Industrial REIT, Inc.",0001515816,2023-02-28,2023-02-23,8-K,EX-99,EFTS
0001171520-22-000175,"Plymouth Industrial REIT, Inc.",0001515816,2022-02-28,2022-02-23,8-K,EX-99,EFTS
0001437749-23-015611,CORETEC GROUP INC.,0001375195,2023-05-23,2023-05-23,8-K,EX-99.1,EFTS
0001028918-20-000128,PACIFIC PREMIER BANCORP INC,0001028918,2020-05-05,2020-04-28,8-K,EX-99.1,EFTS
0001174947-19-000249,STURM RUGER & CO INC,0000095029,2019-02-22,2019-02-21,8-K,EX-99.1,EFTS
0001564590-20-038023,STAAR SURGICAL CO,0000718937,2020-08-07,2020-08-05,8-K,EX-99.1,EFTS
0000807707-19-000004,VOXX International Corp,0000807707,2019-01-15,2019-01-09,8-K,EX-99.2,EFTS
0001601548-22-000020,"Vectrus, Inc.",0001601548,2022-03-08,2022-03-07,8-K,EX-99.5,EFTS
0001193125-21-110422,"CommScope Holding Company, Inc.",0001517228,2021-04-09,2021-04-08,8-K,EX-99.1,EFTS
0000043920-19-000059,"GREIF, INC",0000043920,2019-12-10,2019-12-10,8-K,EX-99.2,EFTS
0001564590-22-001281,VOXX International Corp,0000807707,2022-01-14,2022-01-10,8-K,EX-99.2,EFTS
0001193125-22-136919,"FTI CONSULTING, INC",0000887936,2022-05-02,2022-04-28,8-K,EX-99.1,EFTS
0000091142-23-000096,SMITH A O CORP,0000091142,2023-10-27,2023-10-27,8-K,EX-99.1,EFTS
0001110803-20-000009,"ILLUMINA, INC.",0001110803,2020-01-16,2020-01-13,8-K,EX-99.1,EFTS
0001193125-19-129563,FTI CONSULTING INC,0000887936,2019-04-30,2019-04-25,8-K,EX-99.1,EFTS
0001104659-22-087979,SPX CORP,0000088205,2022-08-09,2022-08-04,8-K,EX-99.1,EFTS
0001213900-21-025298,"SB FINANCIAL GROUP, INC.",0000767405,2021-05-10,2021-05-03,8-K,EX-99.1,EFTS
0000043920-20-000023,"GREIF, INC",0000043920,2020-03-02,2020-03-02,8-K,EX-99.2,EFTS
0001193125-22-277160,TALOS ENERGY INC.,0001724965,2022-11-04,2022-11-03,8-K,EX-99.1,EFTS
0000950170-23-022528,DIODES INC /DEL/,0000029002,2023-05-16,2023-05-09,8-K,EX-99.1,EFTS
0001174947-19-000951,STURM RUGER & CO INC,0000095029,2019-08-02,2019-08-01,8-K,EX-99.1,EFTS
0000763744-19-000077,LCI INDUSTRIES,0000763744,2019-08-07,2019-08-06,8-K,EX-99.1,EFTS
0001193125-19-205560,"FTI CONSULTING, INC",0000887936,2019-07-29,2019-07-25,8-K,EX-99.1,EFTS
0001870997-22-000069,Loyalty Ventures Inc.,0001870997,2022-11-09,2022-11-08,8-K,EX-99.1,EFTS
0001171520-22-000296,"Plymouth Industrial REIT, Inc.",0001515816,2022-05-10,2022-05-04,8-K,EX-99,EFTS
0001193125-20-284027,"FTI CONSULTING, INC",0000887936,2020-11-02,2020-10-29,8-K,EX-99.1,EFTS
0000763744-19-000111,LCI INDUSTRIES,0000763744,2019-11-06,2019-11-05,8-K,EX-99.1,EFTS
0001193125-21-148110,"FTI CONSULTING, INC",0000887936,2021-05-03,2021-04-29,8-K,EX-99.1,EFTS
0000043920-19-000049,GREIF INC,0000043920,2019-09-03,2019-09-03,8-K,EX-99.2,EFTS
0001174947-19-001169,STURM RUGER & CO INC,0000095029,2019-11-12,2019-11-08,8-K,EX-99.1,EFTS
0001171520-21-000115,Plymouth Industrial REIT Inc.,0001515816,2021-03-02,2021-02-26,8-K,EX-99.1,EFTS
0001174947-20-001053,STURM RUGER & CO INC,0000095029,2020-10-30,2020-10-29,8-K,EX-99.1,EFTS
0000076605-20-000183,PATRICK INDUSTRIES INC,0000076605,2020-11-02,2020-10-29,8-K,EX-99.1,EFTS
0001193125-20-173159,"SMITH & WESSON BRANDS, INC.",0001092796,2020-06-19,2020-06-18,8-K,EX-99.1,EFTS
0001193125-21-151739,"Premier, Inc.",0001577916,2021-05-05,2021-05-04,8-K,EX-99.2,EFTS
0001193125-23-266240,"FTI CONSULTING, INC",0000887936,2023-10-30,2023-10-26,8-K,EX-99.1,EFTS
0001193125-23-199197,"FTI CONSULTING, INC",0000887936,2023-07-31,2023-07-27,8-K,EX-99.1,EFTS
0001193125-21-063655,"FTI CONSULTING, INC",0000887936,2021-03-01,2021-02-25,8-K,EX-99.1,EFTS
0000027996-19-000108,DELUXE CORP,0000027996,2019-10-25,2019-10-24,8-K,EX-99.2,EFTS
0001193125-20-050183,"FTI CONSULTING, INC",0000887936,2020-02-26,2020-02-25,8-K,EX-99.1,EFTS
0000763744-19-000127,LCI INDUSTRIES,0000763744,2019-11-25,2019-11-22,8-K,EX-99.1,EFTS
0000043920-19-000022,GREIF INC,0000043920,2019-03-01,2019-03-01,8-K,EX-99.2,EFTS
0001144204-19-038250,"Select Energy Services, Inc.",0001693256,2019-08-07,2019-08-06,8-K,EX-99.2,EFTS
0001193125-22-143893,"Premier, Inc.",0001577916,2022-05-09,2022-05-03,8-K,EX-99.2,EFTS
0001193125-21-320168,"Premier, Inc.",0001577916,2021-11-04,2021-11-02,8-K,EX-99.2,EFTS
0001193125-20-206640,"FTI CONSULTING, INC",0000887936,2020-07-31,2020-07-30,8-K,EX-99.1,EFTS
0001564590-19-000322,Flexion Therapeutics Inc,0001419600,2019-01-07,2019-01-04,8-K,EX-99.1,EFTS
0000043920-21-000041,"GREIF, INC",0000043920,2021-06-11,2021-06-11,8-K,EX-99.2,EFTS
0001171520-22-000453,"Plymouth Industrial REIT, Inc.",0001515816,2022-08-05,2022-08-03,8-K,EX-99,EFTS
0001437749-19-021287,INPHI Corp,0001160958,2019-11-01,2019-10-29,8-K,EX-99.1,EFTS
0001193125-20-132471,"FTI CONSULTING, INC",0000887936,2020-05-04,2020-04-30,8-K,EX-99.1,EFTS
0000043920-21-000061,"GREIF, INC",0000043920,2021-09-03,2021-09-03,8-K,EX-99.3,EFTS
0000076605-19-000127,PATRICK INDUSTRIES INC,0000076605,2019-10-30,2019-10-24,8-K,EX-99.1,EFTS
0001213900-19-001473,"SB FINANCIAL GROUP, INC.",0000767405,2019-01-31,2019-01-25,8-K,EX-99.1,EFTS
0001018840-19-000013,ABERCROMBIE & FITCH CO /DE/,0001018840,2019-03-07,2019-03-06,8-K,EX-99.4,EFTS
0001213900-20-010587,"SB FINANCIAL GROUP, INC.",0000767405,2020-04-30,2020-04-24,8-K,EX-99.1,EFTS
0000076605-19-000065,PATRICK INDUSTRIES INC,0000076605,2019-04-29,2019-04-25,8-K,EX-99.1,EFTS
0000043920-20-000069,"GREIF, INC",0000043920,2020-12-14,2020-12-14,8-K,EX-99.3,EFTS
0001193125-21-315535,"FTI CONSULTING, INC",0000887936,2021-11-01,2021-10-28,8-K,EX-99.1,EFTS
0001193125-20-207185,"Zendesk, Inc.",0001463172,2020-08-03,2020-07-30,8-K,EX-99.1,EFTS
0001018840-19-000048,ABERCROMBIE & FITCH CO /DE/,0001018840,2019-08-30,2019-08-29,8-K,EX-99.4,EFTS
0001193125-19-289172,DXC Technology Co,0001688568,2019-11-12,2019-11-11,8-K,EX-99.3,EFTS
0000763744-19-000036,LCI INDUSTRIES,0000763744,2019-05-08,2019-05-07,8-K,EX-99.1,EFTS
0001213900-20-019861,"SB FINANCIAL GROUP, INC.",0000767405,2020-08-03,2020-07-28,8-K,EX-99.1,EFTS
0001193125-19-276266,"FTI CONSULTING, INC",0000887936,2019-10-28,2019-10-24,8-K,EX-99.1,EFTS
0000763744-23-000042,LCI INDUSTRIES,0000763744,2023-05-11,2023-05-09,8-K,EX-99.1,EFTS
0001193125-23-050926,"FTI CONSULTING, INC",0000887936,2023-02-27,2023-02-23,8-K,EX-99.1,EFTS
0001193125-19-236702,SANDERSON FARMS INC,0000812128,2019-09-03,2019-08-29,8-K,EX-99.2,EFTS
0001193125-21-233379,"FTI CONSULTING, INC",0000887936,2021-08-02,2021-07-29,8-K,EX-99.1,EFTS
0000076605-20-000041,PATRICK INDUSTRIES INC,0000076605,2020-02-19,2020-02-13,8-K,EX-99.2,EFTS
0000076605-19-000106,PATRICK INDUSTRIES INC,0000076605,2019-07-29,2019-07-25,8-K,EX-99.1,EFTS
0000935703-20-000029,"DOLLAR TREE, INC.",0000935703,2020-05-29,2020-05-29,8-K,EX-99.1,EFTS
0001018840-20-000076,ABERCROMBIE & FITCH CO /DE/,0001018840,2020-08-28,2020-08-27,8-K,EX-99.4,EFTS
0000043920-20-000064,"GREIF, INC",0000043920,2020-09-01,2020-09-01,8-K,EX-99.2,EFTS
0001104659-20-109374,"WPX ENERGY, INC.",0001518832,2020-09-28,2020-09-28,8-K,EX-99.1,EFTS
0001193125-19-164402,SANDERSON FARMS INC,0000812128,2019-06-04,2019-05-30,8-K,EX-99.2,EFTS
0001193125-20-233144,"Premier, Inc.",0001577916,2020-08-27,2020-08-25,8-K,EX-99.2,EFTS
0001193125-22-025719,"Premier, Inc.",0001577916,2022-02-02,2022-02-01,8-K,EX-99.2,EFTS
0001564590-20-003494,NEUROCRINE BIOSCIENCES INC,0000914475,2020-02-05,2020-02-04,8-K,EX-99.1,EFTS
0001193125-20-026792,"Premier, Inc.",0001577916,2020-02-06,2020-02-04,8-K,EX-99.2,EFTS
0001018840-19-000028,ABERCROMBIE & FITCH CO /DE/,0001018840,2019-05-30,2019-05-22,8-K,EX-99.4,EFTS
0001193125-23-202937,STAAR SURGICAL CO,0000718937,2023-08-03,2023-08-02,8-K,EX-99.1,EFTS
0000076605-19-000024,PATRICK INDUSTRIES INC,0000076605,2019-02-19,2019-02-19,8-K,EX-99.1,EFTS
0000763744-19-000011,LCI INDUSTRIES,0000763744,2019-02-08,2019-02-07,8-K,EX-99.1,EFTS
0000763744-22-000084,LCI INDUSTRIES,0000763744,2022-11-02,2022-11-01,8-K,EX-99.1,EFTS
0000915389-19-000060,EASTMAN CHEMICAL CO,0000915389,2019-10-30,2019-10-24,8-K,EX-99.03,EFTS
0001193125-22-249298,TALOS ENERGY INC.,0001724965,2022-09-22,2022-09-22,8-K,EX-99.2,EFTS
0001193125-23-168250,PATTERSON UTI ENERGY INC,0000889900,2023-06-16,2023-06-15,8-K,EX-99.1,EFTS
0000043920-20-000050,"GREIF, INC",0000043920,2020-06-08,2020-06-08,8-K,EX-99.3,EFTS
0001018840-20-000041,ABERCROMBIE & FITCH CO /DE/,0001018840,2020-05-29,2020-05-28,8-K,EX-99.4,EFTS
0001628280-21-023214,"Acutus Medical, Inc.",0001522860,2021-11-12,2021-11-11,8-K,EX-99.2,EFTS
0001193125-20-297014,Haymaker Acquisition Corp. II,0001771908,2020-11-18,2020-11-18,8-K,EX-99.1,EFTS
0000043920-19-000036,GREIF INC,0000043920,2019-06-11,2019-06-10,8-K,EX-99.2,EFTS
0000892222-19-000091,"CRAFT BREW ALLIANCE, INC.",0000892222,2019-09-10,2019-09-04,8-K,EX-99.1,EFTS
0000726958-20-000120,CASEYS GENERAL STORES INC,0000726958,2020-09-14,2020-09-09,8-K,EX-99.1,EFTS
0000726958-20-000135,CASEYS GENERAL STORES INC,0000726958,2020-12-10,2020-12-08,8-K,EX-99.1,EFTS
0000768835-19-000069,BIG LOTS INC,0000768835,2019-09-04,2019-08-28,8-K,EX-99.2,EFTS
0001018840-20-000009,ABERCROMBIE & FITCH CO /DE/,0001018840,2020-03-05,2020-03-04,8-K,EX-99.4,EFTS
0000076605-20-000069,PATRICK INDUSTRIES INC,0000076605,2020-05-05,2020-04-30,8-K,EX-99.1,EFTS
0001140361-20-003708,"GARDNER DENVER HOLDINGS, INC.",0001699150,2020-02-20,2020-02-17,8-K,EX-99.1,EFTS
0000076605-20-000153,PATRICK INDUSTRIES INC,0000076605,2020-08-04,2020-07-30,8-K,EX-99.1,EFTS
0001193125-20-137569,"Premier, Inc.",0001577916,2020-05-08,2020-05-05,8-K,EX-99.2,EFTS
0001193125-19-030872,"Premier, Inc.",0001577916,2019-02-07,2019-02-05,8-K,EX-99.2,EFTS
0001193125-21-028930,"Premier, Inc.",0001577916,2021-02-04,2021-02-02,8-K,EX-99.2,EFTS
0001193125-19-322971,SANDERSON FARMS INC,0000812128,2019-12-26,2019-12-19,8-K,EX-99.2,EFTS
0000726958-20-000069,CASEYS GENERAL STORES INC,0000726958,2020-06-10,2020-06-09,8-K,EX-99.1,EFTS
0001104659-19-055012,THOR INDUSTRIES INC,0000730263,2019-10-18,2019-10-14,8-K,EX-99.1,EFTS
0000768835-19-000036,BIG LOTS INC,0000768835,2019-06-03,2019-05-29,8-K,EX-99.2,EFTS
0000043920-19-000043,GREIF INC,0000043920,2019-07-02,2019-07-02,8-K,EX-99.1,EFTS
0001193125-21-335861,"Astra Space, Inc.",0001814329,2021-11-22,2021-11-19,8-K,EX-99.1,EFTS
0001193125-21-335179,"Premier, Inc.",0001577916,2021-11-19,2021-11-17,8-K,EX-99.2,EFTS
0001104659-20-043824,Howmet Aerospace Inc.,0000004281,2020-04-06,2020-03-31,8-K,EX-99.1,EFTS
0001104659-20-043138,Arconic Corp,0001790982,2020-04-03,2020-03-30,8-K,EX-99.1,EFTS
0001193125-20-297940,"Aaron's Company, Inc.",0001821393,2020-11-19,2020-11-19,8-K,EX-99.1,EFTS
0001387131-22-012546,MELI Kaszek Pioneer Corp,0001870258,2022-12-19,2022-12-19,8-K,EX-99.1,EFTS
0000764478-22-000004,BEST BUY CO INC,0000764478,2022-03-03,2022-03-03,8-K,8-K,EFTS
0001193125-19-123824,LOEWS CORP,0000060086,2019-04-29,2019-04-29,8-K,EX-99.1,EFTS
0000920148-19-000002,LABORATORY CORP OF AMERICA HOLDINGS,0000920148,2019-01-03,2019-01-02,8-K,8-K,EFTS
0000779544-19-000009,ARK RESTAURANTS CORP,0000779544,2019-05-15,2019-05-15,8-K,EX-99.1,EFTS
0001437749-19-022792,"Fluent, Inc.",0001460329,2019-11-14,2019-11-11,8-K,EX-99.2,EFTS
0001104659-20-012472,Sundance Energy Inc.,0001326089,2020-02-07,2020-02-07,8-K,EX-99.1,EFTS
0001564590-20-009358,KOHLS Corp,0000885639,2020-03-09,2020-03-09,8-K,8-K,EFTS
0001104659-21-074325,Karat Packaging Inc.,0001758021,2021-05-28,2021-05-27,8-K,8-K,EFTS
0001193125-19-212584,LOEWS CORP,0000060086,2019-08-05,2019-08-05,8-K,EX-99.1,EFTS
0000930413-19-000576,ARK RESTAURANTS CORP,0000779544,2019-02-14,2019-02-12,8-K,EX-99.1,EFTS
0001193125-21-186842,Fisker Inc./DE,0001720990,2021-06-09,2021-06-08,8-K,EX-99.1,EFTS
0001193125-19-275640,LOEWS CORP,0000060086,2019-10-28,2019-10-28,8-K,EX-99.1,EFTS
0001104659-23-041897,WASTE MANAGEMENT INC,0000823768,2023-04-05,2023-04-05,8-K,EX-99.1,EFTS
